contest_id,index,cache_relpath,cache_exists,stored_byte_size,stored_byte_sha256,parse_status,parse_error
1,A,1_A.html,1,60747,8bd08395d6a06ddb0aa5b029cb95c47a87774397b222ce26f292bbd22f1632d1,parsed,
1,B,1_B.html,1,62294,9e36980c8598f67d9929e9a58df20af24649f0ff259b2798168f670febb81c10,parsed,
1,C,1_C.html,1,61894,3def1b1c7560796eda5dc7c77d52c6dbdb506858a0baf40658193033bd5dd8c9,parsed,
2,A,2_A.html,1,63678,dadea9e56bc5fe589a69f60fc10888502c5cacd365726e4d71c67aafb2fbc888,parsed,
2,B,2_B.html,1,62055,a154f24b84957a0c2c97fb8805507d33f75a3106f40412776032b00fca27ad1d,parsed,
2,C,2_C.html,1,62553,f555777d5056cd92ad8b30bebb7756508498bd74f6dbb54f40e5095e3a84f460,parsed,
3,A,3_A.html,1,64002,421dc294c028ca97747601b2532124fbc2cf3e5288d7fa87a0f0ff9c3b19b532,parsed,
3,B,3_B.html,1,64369,1def457e63efed673e74ca7882c0580a3a7db2ae36c6db0a327142acbe4a56ce,parsed,
3,C,3_C.html,1,63857,fc9f7dac502500ff1ff17b06aa9608cf339da1c238f52eb9faadacfe57bb603b,parsed,
3,D,3_D.html,1,64334,a4ef10b8cd9f8d4948c13fbdbaa8ee042ff1e802a84e286011ab6a7951714ab1,parsed,
4,A,4_A.html,1,61061,96c6da4a86c6e62fd2997bf871e6cb67d4e914ef86050911287bc0e5d383d148,parsed,
4,B,4_B.html,1,61924,06578109fc01835b1a32bcb92e4a640506a1d3dacd6a46608887d7a57af70f63,parsed,
4,C,4_C.html,1,62288,9288b4adeae73da20322b59eb3cda089ff3ad87e62034292815db63015f68452,parsed,
4,D,4_D.html,1,61752,5167ed7af132eeae2ceceb696baafed5ed53d7b5082d0a90094fcff6d093242b,parsed,
5,A,5_A.html,1,64345,84464b1d9dcf1a252e899e61f6010d3f1ae7b4466765d5d667b8680d3d57937f,parsed,
5,B,5_B.html,1,63508,73ab8fe690a9f0c9fd90b35d2b1252e865fefbb60356a678655611e985f659ad,parsed,
5,C,5_C.html,1,64401,2c4bc19cc331c2da317a481edf8e5eb70a94982a85644c03dca68bea29d11c2a,parsed,
5,D,5_D.html,1,63865,dae0c329726792a3ed2d1180a69784a20b84368189d3ae98ea2cd008adfd8f52,parsed,
5,E,5_E.html,1,62989,46b0eeaa7b4a684c550a3e01c0962774b1f1e5d4037b851ac9668c6e1811c087,parsed,
6,A,6_A.html,1,63517,552d127c75460685b3dcc4ea3ce65c7be09273011ab4e345e1579f7940bba942,parsed,
6,B,6_B.html,1,62776,636ec64efacc3f28f343b4ca236238b5289819259c127289c9d59f6b21c4fc4a,parsed,
6,C,6_C.html,1,63398,9094794a6a19916c3db91aec66edd4b3c9c2f6b3d9df5655827a0cab9166d604,parsed,
6,D,6_D.html,1,64584,ff2a8547c25e288b4dcd53d7d9db2e018e3527eb2d37b5502be8f26a532d1bba,parsed,
6,E,6_E.html,1,65107,84bd1e067a596a736c724b9660ac66ba3869f4c73816216471a0c61e96a3de2b,parsed,
7,A,7_A.html,1,63219,a6a5215a681067a8524fb2b11dd326d2123e5d562b7821f62c810f6fc51c46ee,parsed,
7,B,7_B.html,1,65139,ed7c83d51dc459728326c0987739a14a292f4377749ce375ce6704a8572cc3d2,parsed,
7,C,7_C.html,1,61766,1999e4cdd60d6947140ff8f0f32d4848ac53cdecd5d21a35f05deabeb69d6506,parsed,
7,D,7_D.html,1,62171,cb43533f25ed442f58513a423581d54422adca23c521c60ce297daacff0a2821,parsed,
7,E,7_E.html,1,66692,90a137c195f03243548021ce60f0748a6d4b7d2f101e85d9a043a883560698ae,parsed,
8,A,8_A.html,1,63885,f7c36bd2ee221fd9f189e5c252d4fedfdfe17dc569b6a0479b583941ebcabe70,parsed,
8,B,8_B.html,1,63865,9aaa896e083c7519a954d0fbeb83c6f5840f69c87d4bd04a12fd71b29e891bd9,parsed,
8,C,8_C.html,1,62811,846132455c2229a2d415c11a4354a51399ab3329cdc4f3a7521c9f5a5fe83b9d,parsed,
8,D,8_D.html,1,63551,b5231c49835ef49e7508c4d36488b0d780ca59f5c0eebbc087c9ab62c8b1c5d4,parsed,
8,E,8_E.html,1,64204,e0d73af6f5cff021fb382e5f3046075cf01ea810f6afa06895fa22ad968721fa,parsed,
9,A,9_A.html,1,63532,d18e721844d5e8a63aef9cf3b411350010620aceefbe21c3b6f1057ba2f2caa1,parsed,
9,B,9_B.html,1,65495,60cc9e23c1f1468e7f04e782fefccc8fc882aff9707eddfd8b83f8dfa6504980,parsed,
9,C,9_C.html,1,62947,fe49ad6ad4bb8752063a8829a288966f82a6364db66a1271d07297b1c37d8e88,parsed,
9,D,9_D.html,1,64469,553531b26ea94cdbda7e8a953c70d5c4cd82fc240d4ff2a8e2db191398555896,parsed,
9,E,9_E.html,1,65902,e5d65f4e12d3b0e5785a6166e1753986f8fe9e74e6725548c59a747303a26864,parsed,
10,A,10_A.html,1,63985,1d2860673c6c2576ccd9f8c4871763f3a7898e03407e504aac7e470c738c4d1a,parsed,
10,B,10_B.html,1,63900,d00b99d0a2535af63b51beb39bbd490d45c6e5d90b62dc797620e8a0aee983be,parsed,
10,C,10_C.html,1,62821,52651371c79a658429795ef2ad87df023c29fde6f01154f6e9a5288af7035e55,parsed,
10,D,10_D.html,1,62796,4c54c897248991c06570a7758541b4a8cc9fc88359c3bf8849abe2eba0d8e596,parsed,
10,E,10_E.html,1,63020,5ad006c474fc8e9343129e4ded054b610e90ed1689644a9d531b544691135b34,parsed,
11,A,11_A.html,1,62680,3fd243f7fdecd8bd74ffa57529fff7e978e41bac95843e624fe3eb98e2ef356a,parsed,
11,B,11_B.html,1,61539,6287a6a425126168e79cbd4ef92ca1b5c6258dce721c441d44850462d7031d66,parsed,
11,C,11_C.html,1,63371,1f3d034539da387d7fb6281674c96546993804ddaa2dac6255cfef13e469392c,parsed,
11,D,11_D.html,1,61486,94605c4ad0a7ea67c7f427f633071a9a161ab36c918a3992f143207d08dd4574,parsed,
