strategy,model_name,index_rank,count,mean_abs_error
contest_grouped,hist_gradient_boosting_regressor,1,291,148.611002
contest_grouped,hist_gradient_boosting_regressor,2,291,154.095944
contest_grouped,hist_gradient_boosting_regressor,3,253,154.905271
contest_grouped,hist_gradient_boosting_regressor,4,261,193.896062
contest_grouped,hist_gradient_boosting_regressor,5,251,174.489722
contest_grouped,hist_gradient_boosting_regressor,6,175,190.494731
contest_grouped,hist_gradient_boosting_regressor,7,73,156.404846
contest_grouped,hist_gradient_boosting_regressor,8,27,130.00357
contest_grouped,hist_gradient_boosting_regressor,9,13,133.89154
contest_grouped,hist_gradient_boosting_regressor,10,7,196.228832
contest_grouped,hist_gradient_boosting_regressor,11,5,188.540878
contest_grouped,hist_gradient_boosting_regressor,12,4,315.231269
contest_grouped,hist_gradient_boosting_regressor,13,3,233.310712
contest_grouped,hist_gradient_boosting_regressor,14,1,246.152086
forward_time,random_forest_regressor,1,268,122.694318
forward_time,random_forest_regressor,2,272,154.230938
forward_time,random_forest_regressor,3,267,152.055647
forward_time,random_forest_regressor,4,256,155.834637
forward_time,random_forest_regressor,5,265,152.530575
forward_time,random_forest_regressor,6,252,160.073215
forward_time,random_forest_regressor,7,145,161.626631
forward_time,random_forest_regressor,8,74,148.729081
forward_time,random_forest_regressor,9,33,171.988488
forward_time,random_forest_regressor,10,12,185.170199
forward_time,random_forest_regressor,11,11,211.205267
forward_time,random_forest_regressor,12,9,263.355908
forward_time,random_forest_regressor,13,9,249.809171
forward_time,random_forest_regressor,14,3,267.024339
